spot_key;curve_set;valid_at;source_model;wind_speed_10m_kn;wind_gusts_10m_kn;wind_direction_10m_deg;temperature_2m_c;precipitation_mm;cloud_cover_max_pct
cap_des_seselets;ICONIFS;2026-08-21T00:00;ICONCH1;4.30;14.80;153.0;21.3;5.10;100.0
cap_des_seselets;ICONIFS;2026-08-21T01:00;ICONCH1;3.40;5.80;350.0;22.2;0.70;100.0
cap_des_seselets;ICONIFS;2026-08-21T02:00;ICONCH1;5.20;6.80;360.0;21.9;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-21T03:00;ICONCH1;8.50;11.90;12.0;22.1;0.00;82.0
cap_des_seselets;ICONIFS;2026-08-21T04:00;ICONCH1;10.10;13.00;11.0;21.2;2.40;100.0
cap_des_seselets;ICONIFS;2026-08-21T05:00;ICONCH1;8.30;10.50;15.0;20.6;0.20;100.0
cap_des_seselets;ICONIFS;2026-08-21T06:00;ICONCH1;4.70;19.20;9.0;19.3;7.40;100.0
cap_des_seselets;ICONIFS;2026-08-21T07:00;ICONCH1;4.40;6.20;21.0;18.9;4.70;100.0
cap_des_seselets;ICONIFS;2026-08-21T08:00;ICONCH1;8.00;10.30;7.0;18.3;2.00;100.0
cap_des_seselets;ICONIFS;2026-08-21T09:00;ICONCH1;6.90;13.80;349.0;18.6;2.10;100.0
cap_des_seselets;ICONIFS;2026-08-21T10:00;ICONCH1;1.70;8.70;63.0;18.9;1.40;100.0
cap_des_seselets;ICONIFS;2026-08-21T11:00;ICONCH1;3.20;4.30;33.0;18.4;2.80;100.0
cap_des_seselets;ICONIFS;2026-08-21T12:00;ICONCH1;4.40;7.00;52.0;18.9;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-21T13:00;ICONCH1;2.80;7.40;56.0;19.3;0.00;30.0
cap_des_seselets;ICONIFS;2026-08-21T14:00;ICONCH1;0.40;3.70;63.0;20.0;0.00;62.0
cap_des_seselets;ICONIFS;2026-08-21T15:00;ICONCH1;0.40;1.20;117.0;21.2;0.00;5.0
cap_des_seselets;ICONIFS;2026-08-21T16:00;ICONCH1;0.40;1.60;270.0;21.9;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-21T17:00;ICONCH1;0.60;1.70;18.0;23.1;0.00;36.0
cap_des_seselets;ICONIFS;2026-08-21T18:00;ICONCH1;0.80;2.10;360.0;23.7;0.00;67.0
cap_des_seselets;ICONIFS;2026-08-21T19:00;ICONCH1;6.30;8.00;338.0;24.2;0.00;83.0
cap_des_seselets;ICONIFS;2026-08-21T20:00;ICONCH1;7.20;9.30;333.0;23.8;0.00;53.0
cap_des_seselets;ICONIFS;2026-08-21T21:00;ICONCH1;4.50;9.10;326.0;23.8;0.00;10.0
cap_des_seselets;ICONIFS;2026-08-21T22:00;ICONCH1;0.80;6.00;135.0;22.1;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-21T23:00;ICONCH1;1.50;4.90;113.0;22.6;0.00;85.0
cap_des_seselets;ICONIFS;2026-08-22T00:00;ICONCH1;2.20;5.20;75.0;21.5;0.00;32.0
cap_des_seselets;ICONIFS;2026-08-22T01:00;ICONCH1;5.50;7.20;51.0;21.4;0.00;66.0
cap_des_seselets;ICONIFS;2026-08-22T02:00;ICONCH1;2.20;7.20;63.0;21.3;0.00;31.0
cap_des_seselets;ICONIFS;2026-08-22T03:00;ICONCH1;3.90;5.10;139.0;19.6;0.00;34.0
cap_des_seselets;ICONIFS;2026-08-22T04:00;ICONCH1;3.60;5.20;158.0;18.9;0.00;23.0
cap_des_seselets;ICONIFS;2026-08-22T05:00;ICONCH1;2.30;5.10;138.0;18.8;0.00;37.0
cap_des_seselets;ICONIFS;2026-08-22T06:00;ICONCH1;3.30;4.50;73.0;19.7;0.00;24.0
cap_des_seselets;ICONIFS;2026-08-22T07:00;ICONCH1;2.70;4.90;86.0;19.0;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-22T08:00;ICONCH1;2.10;4.50;85.0;18.8;0.00;4.0
cap_des_seselets;ICONIFS;2026-08-22T09:00;ICONCH1;4.60;6.00;40.0;19.2;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-22T10:00;ICONCH1;6.40;8.20;20.0;20.3;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-22T11:00;ICONCH1;7.40;9.50;360.0;21.1;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-22T12:00;ICONCH1;7.20;10.10;357.0;22.0;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-22T13:00;ICONCH1;5.70;9.30;354.0;22.8;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-22T14:00;ICONCH1;4.50;7.40;353.0;23.6;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-22T15:00;ICONCH1;4.70;6.00;351.0;24.2;0.00;55.0
cap_des_seselets;ICONIFS;2026-08-22T16:00;ICONCH1;5.30;7.80;356.0;24.5;0.00;87.0
cap_des_seselets;ICONIFS;2026-08-22T17:00;ICONCH1;5.10;7.40;351.0;24.8;0.00;91.0
cap_des_seselets;ICONIFS;2026-08-22T18:00;ICONCH1;6.50;8.40;321.0;24.9;0.00;63.0
cap_des_seselets;ICONIFS;2026-08-22T19:00;ICONCH1;10.30;13.40;332.0;24.9;0.00;68.0
cap_des_seselets;ICONIFS;2026-08-22T20:00;ICONCH1;10.10;15.00;341.0;24.6;0.00;19.0
cap_des_seselets;ICONIFS;2026-08-22T21:00;ICONCH2;5.10;9.30;349.0;24.2;0.00;82.0
cap_des_seselets;ICONIFS;2026-08-22T22:00;ICONCH2;6.50;8.40;339.0;23.6;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-22T23:00;ICONCH2;8.00;10.30;337.0;23.0;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T00:00;ICONCH2;9.40;12.20;347.0;21.7;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T01:00;ICONCH2;8.00;12.20;359.0;21.0;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T02:00;ICONCH2;6.40;10.30;360.0;20.2;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T03:00;ICONCH2;4.90;8.20;358.0;19.7;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T04:00;ICONCH2;3.90;6.40;357.0;19.4;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T05:00;ICONCH2;3.50;5.20;357.0;19.1;0.00;1.0
cap_des_seselets;ICONIFS;2026-08-23T06:00;ICONCH2;3.50;4.90;6.0;18.7;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T07:00;ICONCH2;3.70;5.10;357.0;18.3;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T08:00;ICONCH2;3.30;5.10;360.0;18.2;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T09:00;ICONCH2;2.40;4.30;14.0;18.4;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T10:00;ICONCH2;2.60;3.70;13.0;19.3;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T11:00;ICONCH2;5.50;7.20;18.0;21.1;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T12:00;ICONCH2;6.30;8.00;16.0;22.4;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T13:00;ICONCH2;5.90;8.00;17.0;23.7;0.00;11.0
cap_des_seselets;ICONIFS;2026-08-23T14:00;ICONCH2;5.90;7.80;17.0;25.0;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T15:00;ICONCH2;6.60;8.60;21.0;26.1;0.00;1.0
cap_des_seselets;ICONIFS;2026-08-23T16:00;ICONCH2;6.50;8.70;21.0;26.9;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T17:00;ICONCH2;6.50;8.40;17.0;27.4;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T18:00;ICONCH2;7.40;9.50;20.0;27.7;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T19:00;ICONCH2;8.30;10.70;21.0;27.6;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T20:00;ICONCH2;7.40;10.70;3.0;26.9;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T21:00;ICONCH2;7.20;9.50;341.0;25.6;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T22:00;ICONCH2;6.50;9.30;337.0;24.6;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-23T23:00;ICONCH2;3.60;8.40;347.0;23.7;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T00:00;ICONCH2;3.90;5.20;354.0;22.8;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T01:00;ICONCH2;3.30;5.10;353.0;22.1;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T02:00;ICONCH2;2.50;4.30;356.0;21.6;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T03:00;ICONCH2;2.10;3.30;360.0;21.1;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T04:00;ICONCH2;2.40;3.30;351.0;20.4;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T05:00;ICONCH2;2.40;3.30;346.0;20.0;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T06:00;ICONCH2;2.20;3.50;345.0;19.7;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T07:00;ICONCH2;1.80;2.90;342.0;19.6;0.00;5.0
cap_des_seselets;ICONIFS;2026-08-24T08:00;ICONCH2;1.80;2.50;342.0;19.3;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T09:00;ICONCH2;1.10;2.50;301.0;19.3;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T10:00;ICONCH2;1.40;2.10;254.0;19.3;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T11:00;ICONCH2;1.40;2.10;270.0;20.2;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T12:00;ICONCH2;1.10;1.70;315.0;22.2;0.00;45.0
cap_des_seselets;ICONIFS;2026-08-24T13:00;ICONCH2;2.90;3.90;20.0;25.2;0.00;31.0
cap_des_seselets;ICONIFS;2026-08-24T14:00;ICONCH2;3.30;4.50;17.0;26.9;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T15:00;ICONCH2;3.80;5.10;24.0;28.3;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-24T16:00;ICONCH2;5.30;6.80;28.0;29.5;0.00;22.0
cap_des_seselets;ICONIFS;2026-08-24T17:00;ICONCH2;2.50;6.80;39.0;29.8;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-24T18:00;ICONCH2;1.10;3.50;225.0;29.1;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-24T19:00;ICONCH2;1.40;2.30;262.0;28.6;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-24T20:00;ICONCH2;2.80;3.70;335.0;28.6;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-24T21:00;ICONCH2;2.70;4.90;330.0;27.9;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-24T22:00;ICONCH2;1.40;4.70;326.0;27.1;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-24T23:00;ICONCH2;2.10;3.10;355.0;27.0;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-25T00:00;ICONCH2;5.60;7.40;326.0;26.7;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-25T01:00;ICONCH2;3.30;7.40;93.0;25.1;0.60;100.0
cap_des_seselets;ICONIFS;2026-08-25T02:00;ICONCH2;0.80;4.30;360.0;23.7;0.60;100.0
cap_des_seselets;ICONIFS;2026-08-25T03:00;ICONCH2;8.40;10.70;206.0;22.9;0.20;100.0
cap_des_seselets;ICONIFS;2026-08-25T04:00;ICONCH2;8.40;19.40;193.0;23.5;0.00;37.0
cap_des_seselets;ICONIFS;2026-08-25T05:00;ICONCH2;3.30;10.70;159.0;22.8;0.00;60.0
cap_des_seselets;ICONIFS;2026-08-25T06:00;ICONCH2;2.00;4.50;96.0;21.9;0.00;34.0
cap_des_seselets;ICONIFS;2026-08-25T07:00;ICONCH2;1.30;2.70;117.0;21.8;0.00;27.0
cap_des_seselets;ICONIFS;2026-08-25T08:00;ICONCH2;1.00;1.90;127.0;21.6;0.00;56.0
cap_des_seselets;ICONIFS;2026-08-25T09:00;ICONCH2;0.90;1.60;63.0;22.4;0.00;93.0
cap_des_seselets;ICONIFS;2026-08-25T10:00;ICONCH2;0.70;1.90;56.0;23.0;0.00;74.0
cap_des_seselets;ICONIFS;2026-08-25T11:00;ICONCH2;0.20;1.00;90.0;23.4;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-25T12:00;ICONCH2;0.20;1.00;90.0;24.2;0.00;80.0
cap_des_seselets;ICONIFS;2026-08-25T13:00;ICONCH2;0.80;1.20;45.0;25.5;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-25T14:00;ICONCH2;1.60;2.50;76.0;27.2;0.00;71.0
cap_des_seselets;ICONIFS;2026-08-25T15:00;ICONCH2;1.60;2.30;76.0;28.3;0.00;19.0
cap_des_seselets;ICONIFS;2026-08-25T16:00;ICONCH2;1.40;2.70;74.0;29.3;0.00;66.0
cap_des_seselets;ICONIFS;2026-08-25T17:00;ICONCH2;2.30;3.50;95.0;30.0;0.00;32.0
cap_des_seselets;ICONIFS;2026-08-25T18:00;ICONCH2;1.80;3.70;131.0;29.7;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-25T19:00;ICONCH2;3.20;4.70;205.0;29.9;0.00;95.0
cap_des_seselets;ICONIFS;2026-08-25T20:00;ICONCH2;3.00;5.40;220.0;29.2;0.00;74.0
cap_des_seselets;ICONIFS;2026-08-25T21:00;ICONCH2;2.50;4.10;141.0;28.5;0.00;62.0
cap_des_seselets;ICONIFS;2026-08-25T22:00;ICONCH2;2.90;4.30;118.0;27.5;0.00;53.0
cap_des_seselets;ICONIFS;2026-08-25T23:00;ICONCH2;2.20;3.90;190.0;26.3;0.00;42.0
cap_des_seselets;ICONIFS;2026-08-26T00:00;ICON13KM;2.70;7.60;94.0;21.4;0.00;56.0
cap_des_seselets;ICONIFS;2026-08-26T01:00;ICON13KM;2.00;7.60;107.0;21.2;0.00;60.0
cap_des_seselets;ICONIFS;2026-08-26T02:00;ICON13KM;1.60;7.40;120.0;20.9;0.00;65.0
cap_des_seselets;ICONIFS;2026-08-26T03:00;ICON13KM;1.40;6.60;124.0;20.7;0.00;70.0
cap_des_seselets;ICONIFS;2026-08-26T04:00;ICON13KM;1.40;5.60;106.0;20.4;0.00;75.0
cap_des_seselets;ICONIFS;2026-08-26T05:00;ICON13KM;1.40;4.90;106.0;20.3;0.00;80.0
cap_des_seselets;ICONIFS;2026-08-26T06:00;ICON13KM;1.50;4.70;113.0;20.4;0.00;75.0
cap_des_seselets;ICONIFS;2026-08-26T07:00;ICON13KM;1.60;4.90;120.0;20.5;0.00;69.0
cap_des_seselets;ICONIFS;2026-08-26T08:00;ICON13KM;1.70;4.90;126.0;20.6;0.00;64.0
cap_des_seselets;ICONIFS;2026-08-26T09:00;ICON13KM;1.90;5.80;127.0;21.2;0.00;23.0
cap_des_seselets;ICONIFS;2026-08-26T10:00;ICON13KM;1.00;5.40;169.0;22.5;0.00;11.0
cap_des_seselets;ICONIFS;2026-08-26T11:00;ICON13KM;1.10;5.20;225.0;23.9;0.00;0.0
cap_des_seselets;ICONIFS;2026-08-26T12:00;ICON13KM;1.40;5.80;254.0;25.2;0.00;2.0
cap_des_seselets;ICONIFS;2026-08-26T13:00;ICON13KM;2.00;6.80;264.0;26.5;0.00;5.0
cap_des_seselets;ICONIFS;2026-08-26T14:00;ICON13KM;2.30;7.60;270.0;27.5;0.00;7.0
cap_des_seselets;ICONIFS;2026-08-26T15:00;ICON13KM;2.90;8.40;266.0;28.3;0.00;16.0
cap_des_seselets;ICONIFS;2026-08-26T16:00;ICON13KM;3.50;9.10;261.0;28.9;0.00;25.0
cap_des_seselets;ICONIFS;2026-08-26T17:00;ICON13KM;3.70;9.50;261.0;29.1;0.00;34.0
cap_des_seselets;ICONIFS;2026-08-26T18:00;ICON13KM;3.30;9.10;270.0;28.8;0.00;38.0
cap_des_seselets;ICONIFS;2026-08-26T19:00;ICON13KM;2.50;8.00;288.0;28.3;0.00;42.0
cap_des_seselets;ICONIFS;2026-08-26T20:00;ICON13KM;1.90;7.00;307.0;27.5;0.00;46.0
cap_des_seselets;ICONIFS;2026-08-26T21:00;ICON13KM;1.40;5.60;304.0;26.5;0.00;33.0
cap_des_seselets;ICONIFS;2026-08-26T22:00;ICON13KM;0.60;4.30;252.0;25.2;0.00;19.0
cap_des_seselets;ICONIFS;2026-08-26T23:00;ICON13KM;1.00;3.70;191.0;24.1;0.00;6.0
cap_des_seselets;ICONIFS;2026-08-27T00:00;ICON13KM;1.70;4.50;159.0;23.2;0.00;13.0
cap_des_seselets;ICONIFS;2026-08-27T01:00;ICON13KM;2.40;6.00;145.0;22.3;0.00;21.0
cap_des_seselets;ICONIFS;2026-08-27T02:00;ICON13KM;2.90;7.20;138.0;21.6;0.00;28.0
cap_des_seselets;ICONIFS;2026-08-27T03:00;ICON13KM;3.20;7.00;133.0;21.0;0.00;35.0
cap_des_seselets;ICONIFS;2026-08-27T04:00;ICON13KM;3.10;6.40;125.0;20.5;0.00;41.0
cap_des_seselets;ICONIFS;2026-08-27T05:00;ICON13KM;3.10;7.80;125.0;20.3;0.00;48.0
cap_des_seselets;ICONIFS;2026-08-27T06:00;ICON13KM;3.00;13.60;135.0;20.5;0.00;65.0
cap_des_seselets;ICONIFS;2026-08-27T07:00;ICON13KM;2.90;21.20;152.0;21.0;0.00;83.0
cap_des_seselets;ICONIFS;2026-08-27T08:00;ICON13KM;2.80;25.50;164.0;21.6;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-27T09:00;ICON13KM;2.30;22.40;180.0;22.4;0.30;100.0
cap_des_seselets;ICONIFS;2026-08-27T10:00;ICON13KM;1.80;15.90;212.0;23.3;0.30;100.0
cap_des_seselets;ICONIFS;2026-08-27T11:00;ICON13KM;1.10;12.80;239.0;23.8;0.30;100.0
cap_des_seselets;ICONIFS;2026-08-27T12:00;ICON13KM;1.10;17.90;59.0;23.7;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-27T13:00;ICON13KM;4.10;26.20;65.0;23.3;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-27T14:00;ICON13KM;5.40;30.90;64.0;22.9;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-27T15:00;ICON13KM;3.20;27.40;57.0;22.9;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-27T16:00;ICON13KM;1.20;20.20;288.0;22.9;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-27T17:00;ICON13KM;3.70;15.40;264.0;22.8;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-27T18:00;ICON13KM;3.30;15.70;263.0;22.4;0.30;100.0
cap_des_seselets;ICONIFS;2026-08-27T19:00;ICON13KM;1.80;18.70;276.0;22.0;0.30;100.0
cap_des_seselets;ICONIFS;2026-08-27T20:00;ICON13KM;0.60;20.40;342.0;21.6;0.30;100.0
cap_des_seselets;ICONIFS;2026-08-27T21:00;ICON13KM;0.80;20.00;45.0;21.2;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-27T22:00;ICON13KM;1.30;18.90;63.0;20.8;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-27T23:00;ICON13KM;1.50;16.70;67.0;20.5;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-28T00:00;ICON13KM;1.10;12.80;45.0;20.3;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-28T01:00;ICON13KM;1.00;8.20;338.0;20.2;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-28T02:00;ICON13KM;1.60;5.20;300.0;19.9;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-28T03:00;ICON13KM;2.10;5.10;270.0;19.5;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-28T04:00;ICON13KM;2.90;6.80;250.0;18.9;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-28T05:00;ICON13KM;3.30;9.10;242.0;18.4;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-28T06:00;ICON13KM;2.80;12.40;236.0;18.0;0.90;100.0
cap_des_seselets;ICONIFS;2026-08-28T07:00;ICON13KM;1.90;16.50;233.0;17.7;0.90;100.0
cap_des_seselets;ICONIFS;2026-08-28T08:00;ICON13KM;1.80;20.00;229.0;17.5;0.90;100.0
cap_des_seselets;ICONIFS;2026-08-28T09:00;ICON13KM;3.30;23.10;230.0;17.6;4.60;100.0
cap_des_seselets;ICONIFS;2026-08-28T10:00;ICON13KM;5.70;25.70;229.0;17.8;4.60;100.0
cap_des_seselets;ICONIFS;2026-08-28T11:00;ICON13KM;7.20;26.80;229.0;17.8;4.60;100.0
cap_des_seselets;ICONIFS;2026-08-28T12:00;ICON13KM;7.00;25.50;228.0;17.3;3.90;100.0
cap_des_seselets;ICONIFS;2026-08-28T13:00;ICON13KM;5.80;22.50;228.0;16.6;3.90;100.0
cap_des_seselets;ICONIFS;2026-08-28T14:00;ICON13KM;5.10;20.40;227.0;16.1;3.90;100.0
cap_des_seselets;ICONIFS;2026-08-28T15:00;IFS;2.60;11.90;216.0;22.9;0.10;86.0
cap_des_seselets;ICONIFS;2026-08-28T16:00;IFS;2.40;12.80;220.0;22.6;0.10;70.0
cap_des_seselets;ICONIFS;2026-08-28T17:00;IFS;2.00;13.80;227.0;22.1;0.10;53.0
cap_des_seselets;ICONIFS;2026-08-28T18:00;IFS;1.60;14.60;240.0;21.4;0.10;38.0
cap_des_seselets;ICONIFS;2026-08-28T19:00;IFS;1.30;15.20;257.0;20.7;0.10;27.0
cap_des_seselets;ICONIFS;2026-08-28T20:00;IFS;1.20;15.00;275.0;20.2;0.10;23.0
cap_des_seselets;ICONIFS;2026-08-28T21:00;IFS;1.00;14.00;287.0;19.7;0.00;29.0
cap_des_seselets;ICONIFS;2026-08-28T22:00;IFS;0.90;12.20;297.0;19.1;0.00;43.0
cap_des_seselets;ICONIFS;2026-08-28T23:00;IFS;0.80;10.10;310.0;18.5;0.00;62.0
cap_des_seselets;ICONIFS;2026-08-29T00:00;IFS;0.60;7.80;321.0;18.0;0.00;80.0
cap_des_seselets;ICONIFS;2026-08-29T01:00;IFS;0.60;6.00;342.0;17.5;0.00;94.0
cap_des_seselets;ICONIFS;2026-08-29T02:00;IFS;0.60;4.70;351.0;17.2;0.00;100.0
cap_des_seselets;ICONIFS;2026-08-29T03:00;IFS;0.70;3.90;360.0;16.9;0.00;97.0
cap_des_seselets;ICONIFS;2026-08-29T04:00;IFS;0.80;3.50;360.0;16.7;0.00;86.0
cap_des_seselets;ICONIFS;2026-08-29T05:00;IFS;0.90;3.30;360.0;16.6;0.00;70.0
cap_des_seselets;ICONIFS;2026-08-29T06:00;IFS;0.90;3.50;360.0;16.6;0.00;53.0
cap_des_seselets;ICONIFS;2026-08-29T07:00;IFS;0.90;3.90;347.0;16.8;0.00;37.0
cap_des_seselets;ICONIFS;2026-08-29T08:00;IFS;0.80;4.70;324.0;17.1;0.00;27.0
cap_des_seselets;ICONIFS;2026-08-29T09:00;IFS;1.10;6.00;285.0;17.7;0.00;24.0
cap_des_seselets;ICONIFS;2026-08-29T10:00;IFS;2.00;7.80;264.0;18.6;0.00;24.0
cap_des_seselets;ICONIFS;2026-08-29T11:00;IFS;3.00;10.10;255.0;19.7;0.00;26.0
cap_des_seselets;ICONIFS;2026-08-29T12:00;IFS;4.00;12.20;250.0;20.7;0.00;30.0
cap_des_seselets;ICONIFS;2026-08-29T13:00;IFS;4.80;14.20;248.0;21.5;0.00;37.0
cap_des_seselets;ICONIFS;2026-08-29T14:00;IFS;5.10;15.40;246.0;22.0;0.00;40.0
cap_des_seselets;ICONIFS;2026-08-29T15:00;IFS;4.70;15.90;246.0;22.0;0.00;47.0
cap_des_seselets;ICONIFS;2026-08-29T16:00;IFS;3.90;16.10;245.0;21.8;0.00;58.0
cap_des_seselets;ICONIFS;2026-08-29T17:00;IFS;2.70;16.10;244.0;21.4;0.00;70.0
cap_des_seselets;ICONIFS;2026-08-29T18:00;IFS;1.50;15.70;243.0;20.8;0.00;80.0
cap_des_seselets;ICONIFS;2026-08-29T19:00;IFS;0.40;15.20;243.0;20.2;0.00;87.0
cap_des_seselets;ICONIFS;2026-08-29T20:00;IFS;0.40;14.40;56.0;19.6;0.00;88.0
cap_des_seselets;ICONIFS;2026-08-29T21:00;IFS;0.80;13.20;50.0;19.0;0.00;83.0
cap_des_seselets;ICONIFS;2026-08-29T22:00;IFS;0.90;11.70;41.0;18.2;0.00;70.0
cap_des_seselets;ICONIFS;2026-08-29T23:00;IFS;1.00;9.90;29.0;17.4;0.00;52.0
cap_des_seselets;ICONIFS;2026-08-30T00:00;IFS;1.10;8.00;20.0;16.7;0.00;32.0
cap_des_seselets;ICONIFS;2026-08-30T01:00;IFS;1.30;6.40;9.0;16.0;0.00;15.0
cap_des_seselets;ICONIFS;2026-08-30T02:00;IFS;1.40;5.40;8.0;15.5;0.00;5.0
cap_des_seselets;ICONIFS;2026-08-30T03:00;IFS;1.50;4.90;11.0;15.2;0.00;13.0
cap_des_seselets;ICONIFS;2026-08-30T04:00;IFS;1.60;4.90;17.0;14.9;0.00;32.0
cap_des_seselets;ICONIFS;2026-08-30T05:00;IFS;1.80;4.90;22.0;14.7;0.00;54.0
cap_des_seselets;ICONIFS;2026-08-30T06:00;IFS;1.90;5.20;28.0;14.7;0.00;74.0
cap_des_seselets;ICONIFS;2026-08-30T07:00;IFS;1.80;5.40;32.0;14.9;0.00;90.0
cap_des_seselets;ICONIFS;2026-08-30T08:00;IFS;1.70;5.80;36.0;15.3;0.00;97.0
cap_des_seselets;ICONIFS;2026-08-30T09:00;IFS;1.20;6.20;39.0;16.2;0.00;93.0
cap_des_seselets;ICONIFS;2026-08-30T10:00;IFS;0.60;6.60;59.0;17.6;0.00;80.0
cap_des_seselets;ICONIFS;2026-08-30T11:00;IFS;0.40;7.00;166.0;19.2;0.00;63.0
cap_des_seselets;ICONIFS;2026-08-30T12:00;IFS;1.20;7.40;194.0;20.8;0.00;44.0
cap_des_seselets;ICONIFS;2026-08-30T13:00;IFS;1.80;8.00;199.0;22.0;0.00;27.0
cap_des_seselets;ICONIFS;2026-08-30T14:00;IFS;2.10;8.40;202.0;22.8;0.00;16.0
cap_des_seselets;ICONIFS;2026-08-30T15:00;IFS;2.00;8.70;203.0;23.1;0.00;14.0
cap_des_seselets;ICONIFS;2026-08-30T16:00;IFS;1.70;9.30;204.0;22.9;0.00;17.0
cap_des_seselets;ICONIFS;2026-08-30T17:00;IFS;1.20;9.90;209.0;22.5;0.00;23.0
cap_des_seselets;ICONIFS;2026-08-30T18:00;IFS;0.70;10.30;207.0;21.9;0.00;30.0
cap_des_seselets;ICONIFS;2026-08-30T19:00;IFS;0.20;10.50;243.0;21.3;0.00;35.0
cap_des_seselets;ICONIFS;2026-08-30T20:00;IFS;0.30;10.50;360.0;20.7;0.00;37.0
cap_des_seselets;ICONIFS;2026-08-30T21:00;IFS;0.50;9.90;11.0;20.1;0.00;36.0
cap_des_seselets;ICONIFS;2026-08-30T22:00;IFS;0.70;8.90;16.0;19.4;0.00;32.0
cap_des_seselets;ICONIFS;2026-08-30T23:00;IFS;1.00;8.00;24.0;18.7;0.00;26.0
excenevex;ICONIFS;2026-08-21T00:00;ICONCH1;10.20;15.20;201.0;21.2;0.10;100.0
excenevex;ICONIFS;2026-08-21T01:00;ICONCH1;5.80;14.20;230.0;20.9;0.60;100.0
excenevex;ICONIFS;2026-08-21T02:00;ICONCH1;4.70;6.60;246.0;19.5;1.60;100.0
